Time,Hot Water,Space Heat,Electricity,Charge
269,186.6009805,5906.684694,239.56775,300
270,186.6009805,6016.885679,326.878,300
271,290.1876231,8048.231726,480.94725,300
272,2155.132989,11001.10199,475.9855,300
273,677.3354664,9732.16816,339.6615,300
274,1050.787497,8542.665798,225.1755,300
275,186.6009805,7375.637283,380.1845,300
276,186.6009805,6382.701446,345.142,300
277,186.6009805,5702.475676,361.446,300
278,186.6009805,5265.086436,247.8255,300
279,186.6009805,5085.898682,251.29125,300
280,927.33228,5291.306398,258.39025,300
281,186.6009805,5597.374885,424.89375,300
282,661.1319693,5707.865886,277.6655,300
283,640.2989015,6193.218297,488.21625,300
284,186.6009805,6004.11253,623.1465,300
285,1466.677258,5722.823501,650.539,300
286,186.6009805,6650.701561,383.9935,300
287,186.6009805,4919.319795,368.3545,300
288,186.6009805,2156.25929,361.38875,300
289,186.8487847,3459.40913,254.0255,300
290,186.849475,4560.941339,244.3995,300
291,186.849475,5423.910892,259.524,300
292,186.849475,5980.878308,224.80275,300
293,186.849475,6380.472263,238.3075,300
294,1571.389225,6612.968821,338.457,300
295,1917.137852,8811.776664,256.798,300
296,186.849475,11867.79025,503.49025,300
297,240.7399033,10553.47782,536.763,300
298,2708.689734,9122.831642,356.68325,300
299,186.849475,7919.733631,263.98125,300
300,186.849475,6890.498073,256.14275,300
301,186.849475,5963.310894,844.6465,300
302,503.2384413,5563.646185,952.65825,300
303,186.849475,5745.562928,223.15975,300
304,186.849475,6064.694486,328.32925,300
305,186.849475,6200.376435,572.11225,300
306,186.849475,6575.49655,481.71725,300
307,1546.858457,7082.615836,562.07,300
308,186.849475,7056.906054,1766.4595,300
309,1243.024608,6987.956471,1330.14375,300
310,186.849475,7273.617094,662.197,300
311,186.849475,5487.036942,495.112,300
312,186.849475,2710.93741,245.90475,300
313,187.0930359,3989.868853,239.55375,300
314,187.0937144,4928.689998,222.0455,300
315,187.0937144,5565.136796,239.16825,300
316,187.0937144,5982.640232,246.677,300
317,187.0937144,6268.609905,247.87225,300
318,187.0937144,6355.431508,388.84325,300
319,716.2583845,8361.230178,255.15825,300
320,231.9644028,11281.40999,343.13575,300
321,187.0937144,9805.650205,332.4415,300
322,187.0937144,8395.713977,400.615,300
323,187.0937144,7098.461884,399.5535,300
324,187.0937144,6045.095949,241.67875,300
325,805.9997613,5350.632088,248.32675,300
326,901.9301986,4773.178044,228.55975,300
327,187.0937144,5078.333204,235.681,300
328,1626.050273,5551.423239,248.626,300
329,254.399747,6092.387702,349.57225,300
330,187.0937144,6486.435468,792.08925,300
331,187.0937144,6845.426346,963.9415,300
332,860.1540404,7217.529247,855.1635,300
333,994.3792894,7574.768275,607.84225,300
334,187.0937144,7866.945021,577.8125,300
335,805.9997613,5908.636869,568.252,300
336,231.9644028,3158.037379,336.868,300
337,187.3329908,4600.682414,260.70625,300
338,187.3336573,5592.581738,246.603,300
339,187.3336573,6178.742115,247.189,300
340,187.3336573,6567.224314,250.018,300
341,187.3336573,6822.898014,339.18275,300
342,187.3336573,6897.718379,267.2255,300
343,247.3670734,8992.745561,592.35025,300
344,2354.346319,12032.17077,1765.66725,300
